INGREDIENT_RXNORM_CUI,INGREDIENT_NAME,MME_FACTOR
480,ALFENTANIL,
1819,BUPRENORPHINE,
1841,BUTORPHANOL,7
2670,CODEINE,0.15
23088,DIHYDROCODEINE,0.25
4337,FENTANYL,
5489,HYDROCODONE,1
3423,HYDROMORPHONE,4
237005,LEVOMETHADYL ACETATE,
6378,LEVORPHANOL TARTRATE,11
6754,MEPERIDINE ,0.1
6813,METHADONE,
7052,MORPHINE,1
477468,MORPHINE LIPOSOMAL,
7238,NALBUPHINE,
7676,OPIUM,1
7804,OXYCODONE,1.5
7814,OXYMORPHONE,3
8001,PENTAZOCINE,0.37
8785,PROPOXYPHENE,
73032,REMIFENTANIL,
56795,SUFENTANIL,
787390,TAPENTADOL,0.4
10689,TRAMADOL,0.1